Date_Time,Number_of_Customers,Service_Time,Arrival_Interval,Customers_Served,Average_Waiting_Time,Maximum_Waiting_Time,Maximum_Queue_Length,Cashier_Utilization,Barista_Utilization,Execution_Time_ms
2026-07-19T12:37:21.750491,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,6.688166
2026-07-19T13:02:33.191773,10,2.0,4.0,10,1.0,6.0,10,100.0,100.0,5.408
2026-07-19T13:06:09.845732,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,5.695416
2026-07-19T13:07:35.576657,30,3.0,2.0,30,20.066666666666666,71.0,30,100.0,100.0,6.185833
2026-07-19T13:13:37.217704,1,2.0,4.0,1,0.0,0.0,1,100.0,100.0,4.872959
2026-07-19T13:15:31.833933,20,2.0,2.9,20,4.404999999999999,30.2,20,100.0,100.0,5.736666
2026-07-21T18:03:57.931764,10,2.0,3.0,10,1.6,8.0,10,100.0,100.0,5.377042
2026-07-21T18:05:55.065216,15,2.0,3.0,15,2.6666666666666665,22.0,15,100.0,100.0,6.817625
2026-07-21T18:06:20.843249,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,6.062791
2026-07-21T18:06:31.431065,25,2.0,3.0,25,4.68,32.0,25,100.0,100.0,6.037417
2026-07-21T18:06:43.711908,30,2.0,3.0,30,6.333333333333333,44.0,30,100.0,100.0,6.043875
2026-07-21T18:07:59.951486,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,6.064458
2026-07-21T18:08:10.300179,20,1.0,3.0,20,1.05,12.0,20,100.0,100.0,5.610083
2026-07-21T18:08:21.417629,20,1.5,3.0,20,2.475,21.0,20,100.0,100.0,6.136875
2026-07-21T18:08:33.356866,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,6.309167
2026-07-21T18:08:42.389572,20,2.5,3.0,20,6.55,39.0,20,100.0,100.0,5.692
2026-07-21T18:08:51.569444,20,3.0,3.0,20,9.0,48.0,20,100.0,100.0,6.105416
2026-07-21T18:09:00.072578,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,6.574041
2026-07-21T18:09:33.204569,20,2.0,2.0,20,6.0,32.0,20,100.0,100.0,6.412
2026-07-21T18:09:47.302561,20,2.0,2.5,20,5.05,31.0,20,100.0,100.0,6.319833
2026-07-21T18:09:57.565599,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,5.921875
2026-07-21T18:09:58.889209,20,2.0,3.0,20,4.25,30.0,20,100.0,100.0,6.871583
2026-07-21T18:10:07.016230,20,2.0,3.5,20,3.7,29.0,20,100.0,100.0,6.358292
2026-07-21T18:10:16.323984,20,2.0,4.0,20,3.3,28.0,20,100.0,100.0,5.928459
2026-07-25T17:43:13.923811,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,5.711125
2026-07-25T17:43:17.458372,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,6.271542
2026-07-25T17:43:25.584562,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,5.43525
2026-07-25T17:43:26.427982,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,5.790917
2026-07-25T17:43:26.713542,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,5.837417
2026-07-25T17:43:27.738667,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,7.185416
2026-07-25T17:43:27.738208,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,6.681875
2026-07-25T17:43:27.739877,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,5.98725
2026-07-25T17:44:16.498468,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,7.949417
2026-07-25T17:44:17.348844,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,6.242042
2026-07-25T17:44:18.336126,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,6.133625
2026-07-25T17:45:03.109287,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,5.971875
2026-07-25T17:46:41.261443,20,2.0,4.0,20,40.4,94.0,15,37.735849056603776,37.735849056603776,6.118417
2026-07-25T18:49:32.377389,1,2.0,4.0,1,0.0,0.0,0,100.0,100.0,4.961375
2026-07-25T18:57:59.225630,10,2.0,4.0,10,17.6,38.0,7,38.46153846153847,38.46153846153847,6.445833
2026-07-25T19:02:22.866166,10,2.0,4.0,10,0.0,0.0,0,52.63157894736842,52.63157894736842,5.437167
2026-07-25T19:22:37.040168,10,2.0,4.0,10,0.0,0.0,0,54.897257047349434,54.897257047349434,6.005667
2026-07-25T19:22:46.091996,10,2.0,4.0,10,0.0,0.0,0,52.02247420610574,52.02247420610574,5.272417
2026-07-25T23:18:56.705347,10,2.0,4.0,10,0.0,0.0,0,51.10859222697155,51.10859222697155,5.995042
